2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:15:06,084 INFO step 118: tp = 5.0, fp = 10.0, tn = 8.0, fn = 9.0, acc = 0.4062, mcc = -0.197242 
2023-12-10 19:15:06,711 INFO step 119: tp = 9.0, fp = 6.0, tn = 6.0, fn = 11.0, acc = 0.4688, mcc = -0.048507 
2023-12-10 19:15:07,270 INFO step 120: tp = 9.0, fp = 4.0, tn = 8.0, fn = 11.0, acc = 0.5312, mcc = 0.115002 
2023-12-10 19:15:07,407 INFO step/epoch: 120/1, training samples: 3872, train_loss = 11.8019 train_acc = 0.494835
2023-12-10 19:15:07,892 INFO step 121: tp = 6.0, fp = 7.0, tn = 10.0, fn = 9.0, acc = 0.5000, mcc = -0.011954 
2023-12-10 19:15:08,393 INFO step 122: tp = 5.0, fp = 5.0, tn = 8.0, fn = 14.0, acc = 0.4062, mcc = -0.128695 
2023-12-10 19:15:09,053 INFO step 123: tp = 6.0, fp = 9.0, tn = 8.0, fn = 9.0, acc = 0.4375, mcc = -0.129412 
2023-12-10 19:15:09,668 INFO step 124: tp = 7.0, fp = 8.0, tn = 4.0, fn = 13.0, acc = 0.3438, mcc = -0.307212 
2023-12-10 19:15:10,295 INFO step 125: tp = 8.0, fp = 7.0, tn = 9.0, fn = 8.0, acc = 0.5312, mcc = 0.062622 
2023-12-10 19:15:10,930 INFO step 126: tp = 6.0, fp = 9.0, tn = 5.0, fn = 12.0, acc = 0.3438, mcc = -0.307698 
2023-12-10 19:15:11,582 INFO step 127: tp = 8.0, fp = 8.0, tn = 8.0, fn = 8.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 19:15:12,253 INFO step 128: tp = 12.0, fp = 9.0, tn = 7.0, fn = 4.0, acc = 0.5938, mcc = 0.197386 
2023-12-10 19:15:12,904 INFO step 129: tp = 8.0, fp = 10.0, tn = 9.0, fn = 5.0, acc = 0.5312, mcc = 0.088181 
2023-12-10 19:15:13,536 INFO step 130: tp = 13.0, fp = 7.0, tn = 7.0, fn = 5.0, acc = 0.6250, mcc = 0.227710 
2023-12-10 19:15:14,190 INFO step 131: tp = 9.0, fp = 5.0, tn = 8.0, fn = 10.0, acc = 0.5312, mcc = 0.088181 
2023-12-10 19:15:14,873 INFO step 132: tp = 5.0, fp = 9.0, tn = 9.0, fn = 9.0, acc = 0.4375, mcc = -0.142857 
2023-12-10 19:15:15,495 INFO step 133: tp = 10.0, fp = 4.0, tn = 9.0, fn = 9.0, acc = 0.5938, mcc = 0.216444 
2023-12-10 19:15:16,164 INFO step 134: tp = 7.0, fp = 7.0, tn = 9.0, fn = 9.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 19:15:16,774 INFO step 135: tp = 8.0, fp = 6.0, tn = 5.0, fn = 13.0, acc = 0.4062, mcc = -0.157499 
2023-12-10 19:15:17,378 INFO step 136: tp = 5.0, fp = 8.0, tn = 11.0, fn = 8.0, acc = 0.5000, mcc = -0.036437 
2023-12-10 19:15:17,958 INFO step 137: tp = 8.0, fp = 7.0, tn = 6.0, fn = 11.0, acc = 0.4375, mcc = -0.115553 
2023-12-10 19:15:18,594 INFO step 138: tp = 9.0, fp = 14.0, tn = 6.0, fn = 3.0, acc = 0.4688, mcc = 0.053838 
2023-12-10 19:15:19,201 INFO step 139: tp = 9.0, fp = 11.0, tn = 7.0, fn = 5.0, acc = 0.5000, mcc = 0.032530 
2023-12-10 19:15:19,766 INFO step 140: tp = 6.0, fp = 9.0, tn = 6.0, fn = 11.0, acc = 0.3750, mcc = -0.247059 
2023-12-10 19:15:19,914 INFO step/epoch: 140/1, training samples: 4512, train_loss = 11.3068 train_acc = 0.492465
2023-12-10 19:15:20,366 INFO step 141: tp = 8.0, fp = 4.0, tn = 9.0, fn = 11.0, acc = 0.5312, mcc = 0.115002 
2023-12-10 19:15:21,061 INFO step 142: tp = 10.0, fp = 11.0, tn = 5.0, fn = 6.0, acc = 0.4688, mcc = -0.065795 
2023-12-10 19:15:21,720 INFO step 143: tp = 15.0, fp = 10.0, tn = 2.0, fn = 5.0, acc = 0.5312, mcc = -0.097590 
2023-12-10 19:15:22,331 INFO step 144: tp = 7.0, fp = 9.0, tn = 7.0, fn = 9.0, acc = 0.4375, mcc = -0.125000 
2023-12-10 19:15:22,949 INFO step 145: tp = 5.0, fp = 11.0, tn = 8.0, fn = 8.0, acc = 0.4062, mcc = -0.190885 
2023-12-10 19:15:23,532 INFO step 146: tp = 10.0, fp = 9.0, tn = 6.0, fn = 7.0, acc = 0.5000, mcc = -0.011954 
2023-12-10 19:15:24,167 INFO step 147: tp = 8.0, fp = 8.0, tn = 9.0, fn = 7.0, acc = 0.5312, mcc = 0.062622 
2023-12-10 19:15:24,708 INFO step 148: tp = 8.0, fp = 12.0, tn = 8.0, fn = 4.0, acc = 0.5000, mcc = 0.066667 
2023-12-10 19:15:25,285 INFO step 149: tp = 8.0, fp = 3.0, tn = 7.0, fn = 14.0, acc = 0.4688, mcc = 0.062103 
2023-12-10 19:15:25,907 INFO step 150: tp = 8.0, fp = 8.0, tn = 9.0, fn = 7.0, acc = 0.5312, mcc = 0.062622 
2023-12-10 19:15:26,531 INFO step 151: tp = 7.0, fp = 6.0, tn = 7.0, fn = 12.0, acc = 0.4375, mcc = -0.093117 
